city_id,period_start,wait_time,treat,commute,trips_pool,trips_express_pool,rider_cancellations,total_driver_payout,total_matches,total_double_matches,total_rides,cost_per_trip
Boston,2/19/18 7:00,2 mins,FALSE,TRUE,1415,3245,256,34458.41163,3372,1476,4660,7.394508934
Boston,2/19/18 9:40,5 mins,TRUE,FALSE,1461,2363,203,29764.34982,2288,1275,3824,7.783564284
Boston,2/19/18 12:20,2 mins,FALSE,FALSE,1362,2184,118,27437.36736,2283,962,3546,7.737554248
Boston,2/19/18 15:00,5 mins,TRUE,TRUE,1984,3584,355,44995.45299,4035,2021,5568,8.08107992
Boston,2/19/18 17:40,2 mins,FALSE,FALSE,1371,2580,181,27583.9553,2200,979,3951,6.98151235
Boston,2/19/18 20:20,5 mins,TRUE,FALSE,1401,2022,135,23888.11085,2066,1062,3423,6.978706061
Boston,2/19/18 23:00,2 mins,FALSE,FALSE,1216,2543,103,29642.90567,2600,1406,3759,7.885848808
Boston,2/20/18 1:40,5 mins,TRUE,FALSE,1691,2018,150,25794.86992,1918,1281,3709,6.954669701
Boston,2/20/18 4:20,2 mins,FALSE,FALSE,1248,2481,131,23238.94629,2623,1059,3729,6.231951271
Boston,2/20/18 7:00,5 mins,TRUE,TRUE,1815,2539,284,34047.4739,2624,1565,4354,7.819814859
Boston,2/20/18 9:40,2 mins,FALSE,FALSE,1594,2773,166,28053.3648,2723,855,4367,6.42394431
Boston,2/20/18 12:20,5 mins,TRUE,FALSE,1629,2380,185,25964.4189,2477,1322,4009,6.476532528
Boston,2/20/18 15:00,2 mins,FALSE,TRUE,1640,3290,236,39912.40151,3777,1969,4930,8.095821808
Boston,2/20/18 17:40,5 mins,TRUE,FALSE,1173,1891,144,22029.73431,1893,998,3064,7.189861068
Boston,2/20/18 20:20,2 mins,FALSE,FALSE,1853,2305,159,33299.09273,2234,1145,4158,8.008439809
Boston,2/20/18 23:00,5 mins,TRUE,FALSE,1145,2419,182,25062.18271,2214,1104,3564,7.032037797
